context,question
The grant is only payable if the level of employment is maintained at specified levels.,When is an employment support grant payable?
The Minister may prescribe regulations under the Act.,Who has the authority to prescribe regulations under the Act?
The Board may make use of other services of the Government of Canada as required.,What additional resources can the Board use if needed?
An alternate member may act in place of a member of the Board during their absence.,What is the role of an alternate member on the Board?
The Minister may require the Board to make reports from time to time.,Who can require the Board to submit reports?
The emoluments for Board members who are not in Public Service are determined by the Governor in Council.,Who determines the payment for non-public service Board members?
The Board shall meet at such times and conduct proceedings in a manner convenient for the speedy dispatch of business.,How often and why does the Board meet?
A grant is provided to maintain employment during disruptions caused by foreign import measures.,What is the purpose of the employment support grant?
The Chairman shall preside at Board sittings and designate others if absent.,Who presides over Board meetings?
No grant shall be paid unless the application is made in accordance with the regulations and within the time prescribed by the Board.,What procedural requirement must be met for a grant application to be valid?
A claimant is entitled to receive benefits if they have worked a minimum number of insurable hours as prescribed.,What is the requirement for a claimant to receive benefits under the Employment Insurance Act?
The weekly benefit rate for a claimant is calculated based on their insurable earnings over the prescribed period.,How is the weekly benefit rate determined for a claimant?
A self-employed person may opt into the Employment Insurance scheme by registering with the Minister.,How can a self-employed person participate in the Employment Insurance scheme?
Premiums shall be deducted from insurable earnings and remitted to the Canada Revenue Agency.,How are Employment Insurance premiums collected?
A claimant must actively seek suitable employment while receiving benefits.,What is a claimant required to do while receiving benefits under the Employment Insurance Act?
"The benefit period means the period described in sections 9, 10, 152.1 and 152.11.",What does 'benefit period' refer to under the Employment Insurance Act?
The Canada Employment Insurance Commission is responsible for overseeing the implementation of this Act.,Who oversees the implementation of the Employment Insurance Act?
An employer is required to pay an employer’s premium for each insured employee.,What is an employer required to do regarding premiums under the Employment Insurance Act?
"Insurable earnings means the total amount of the earnings, as determined in accordance with Part IV, that an insured person has from insurable employment.",What does 'insurable earnings' mean under the Employment Insurance Act?
Employment means the act of employing or the state of being employed.,How does the Act define 'employment'?
A claimant may not receive benefits while participating in a labor dispute.,Under what conditions may a claimant be denied benefits?
A self-employed worker must contribute to the scheme for at least 12 months before making a claim.,How long must a self-employed worker contribute before making a claim?
An interruption of earnings occurs when a person stops receiving income for a period determined by regulations.,What constitutes an 'interruption of earnings'?
"Special benefits may be granted for sickness, maternity, parental, compassionate care, and other prescribed reasons.",What are some types of special benefits under the Employment Insurance Act?
The rate of unemployment is determined by Statistics Canada.,Who determines the rate of unemployment for Employment Insurance purposes?
"Regular benefits mean benefits payable under Part I and Part VIII, but do not include special benefits.",What is the difference between regular benefits and special benefits?
"Employment benefits mean unemployment benefits payable under Part I, VII.1 or VIII.",What does the term 'employment benefits' include under the Act?
An employee’s premium is the amount deducted from their wages for Employment Insurance purposes.,What is an employee's premium under the Employment Insurance Act?
An employer must keep records of insured employees for a period specified in the regulations.,What record-keeping obligations do employers have under the Employment Insurance Act?
The Minister may enter into agreements with provinces regarding employment insurance programs.,What authority does the Minister have regarding provincial agreements?
Overpayment of benefits does not include a benefit repayment as described in Part VII.,What is excluded from overpayment of benefits?
A benefit period begins when a claimant first receives unemployment benefits.,When does a claimant's benefit period begin?
The Commission shall use the most recently produced unemployment rate from Statistics Canada.,What data source is used to determine unemployment rates?
A person cannot claim benefits if they voluntarily leave their employment without just cause.,Under what condition is a person ineligible for benefits?
Premium rates are determined annually and may be adjusted based on economic conditions.,How are Employment Insurance premium rates determined?
Claimants must report any additional income earned while receiving benefits.,What must claimants report while receiving benefits?
The Tribunal may review decisions related to benefit eligibility and payments.,What role does the Tribunal play in Employment Insurance disputes?
The benefit amount may be reduced if a claimant receives severance pay.,How does severance pay affect Employment Insurance benefits?
A week is defined as a period of seven consecutive days starting on a Sunday.,How is a 'week' defined under the Employment Insurance Act?
Labour dispute means a dispute between employers and employees connected to employment conditions.,What is the definition of a 'labour dispute' under the Employment Insurance Act?
A person who fraudulently claims benefits is subject to penalties including fines and imprisonment.,What are the penalties for fraudulent Employment Insurance claims?
Claimants who refuse suitable employment may be disqualified from receiving benefits.,What happens if a claimant refuses suitable employment?
Payments made under provincial laws may affect a claimant’s eligibility for federal benefits.,How do provincial laws impact Employment Insurance eligibility?
"If a claimant fails to file reports, their benefits may be suspended.",What happens if a claimant does not file reports?
The Commission may adjust benefits based on cost-of-living changes.,What factor may lead to an adjustment in benefit payments?
"If a claimant receives benefits they were not entitled to, they must repay the overpayment.",What must a claimant do if they receive an overpayment?
The Act requires employers to issue records of employment when an employee stops working.,What document must employers issue when an employee stops working?
Persons on parental leave may qualify for Employment Insurance benefits under special provisions.,Who may qualify for Employment Insurance benefits under special provisions?
Any benefits paid while a claimant is incarcerated may be reconsidered unless the person was found not guilty.,What happens to Employment Insurance benefits if a claimant is incarcerated?
The Minister must table an annual report in Parliament regarding the administration of the Employment Insurance program.,What reporting duty does the Minister have under the Employment Insurance Act?
